"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1428","test_bnt_back_go_to_log_in_page[chromium]","project_tests.ui-tests","2026-03-10","passed","2026-03-10","","test_forgot_password_page","",""
"","1879","test_avatar_visible[chromium]","project_tests.ui-tests","2026-03-10","passed","2026-03-10","","test_header","",""
"","1648","test_auth_show_password_button[chromium]","project_tests.ui-tests","2026-03-10","passed","2026-03-10","","test_log_in_page","",""
"","4246","test_auth_log_in_success[chromium]","project_tests.ui-tests","2026-03-10","passed","2026-03-10","","test_log_in_page","",""
"","2349","test_auth_wrong_log_in[chromium]","project_tests.ui-tests","2026-03-10","passed","2026-03-10","","test_log_in_page","",""
"","3331","test_auth_correct_log_and_wrong_pass[chromium]","project_tests.ui-tests","2026-03-10","passed","2026-03-10","","test_log_in_page","",""
"","1546","test_btn_forgot_password_works[chromium]","project_tests.ui-tests","2026-03-10","passed","2026-03-10","","test_log_in_page","",""
"
    The UI notifies that the email with the password request has been sent
    (operates once every 10 minutes)
    ","2764","test_send_reset_password[chromium]","project_tests.ui-tests","2026-03-10","passed","2026-03-10","","test_forgot_password_page","",""
"","1673","test_auth_page_check[chromium]","project_tests.ui-tests","2026-03-10","passed","2026-03-10","","test_header","",""
"","1484","test_auth_password_is_hidden_by_default[chromium]","project_tests.ui-tests","2026-03-10","passed","2026-03-10","","test_log_in_page","",""
"","1403","test_btn_loginnow_disable[chromium]","project_tests.ui-tests","2026-03-10","passed","2026-03-10","","test_log_in_page","",""
"","2255","test_input_incorrect_email[chromium]","project_tests.ui-tests","2026-03-10","passed","2026-03-10","","test_forgot_password_page","",""
"","1723","test_btn_sign_in[chromium]","project_tests.ui-tests","2026-03-10","passed","2026-03-10","","test_log_in_page","",""
